fips,county,cbsa,msa_name,cluster_core,county_cat,is_center,naics,industry,estabs,emp,wages,avg_pay,weekly_wage,lq_emp,lq_pay,disclosure_code
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238122,NAICS 238122 Nonresidential structural steel contractors,72,2564,194414898,75835,1458,2.35,0.99,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238131,NAICS 238131 Residential framing contractors,106,1759,137315667,78076,1501,1.82,1.49,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238132,NAICS 238132 Nonresidential framing contractors,21,575,42501525,73916,1421,2.11,1.11,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238141,NAICS 238141 Residential masonry contractors,155,1754,108108672,61633,1185,1.67,1.19,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238142,NAICS 238142 Nonresidential masonry contractors,52,1601,100697230,62896,1210,1.56,0.95,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238151,NAICS 238151 Residential glass and glazing contractors,86,746,45452010,60907,1171,1.9,1.04,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238152,NAICS 238152 Nonresidential glass and glazing contractors,39,994,67135127,67512,1298,1.46,0.9,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238161,NAICS 238161 Residential roofing contractors,266,2843,205621868,72332,1391,1.53,1.2,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238162,NAICS 238162 Nonresidential roofing contractors,75,2587,182645275,70608,1358,1.57,0.97,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238171,NAICS 238171 Residential siding contractors,14,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238172,NAICS 238172 Nonresidential siding contractors,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238191,NAICS 238191 Other residential exterior contractors,75,544,37130182,68223,1312,1.71,1.14,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238192,NAICS 238192 Other nonresidential exterior contractors,45,719,57880306,80454,1547,1.68,1.11,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238211,NAICS 238211 Residential electrical contractors,830,7782,514525985,66114,1271,1.49,1.04,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,238212,NAICS 238212 Nonresidential electrical contractors,564,17948,1506303102,83928,1614,1.76,1.02,
